Area of expertise,Region,Category,Organisation type,Experience,Job title,Salary Minimum,Salary Typical,Salary Maximum,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Менеджер по аптечным сетям ,120000,140000,160000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Менеджер по аптечным сетям ,90000,105000,120000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Менеджер по аптечным сетям ,110000,130000,150000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Менеджер по аптечным сетям ,110000,120000,130000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Менеджер по аптечным сетям ,140000,145000,150000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Менеджер по аптечным сетям ,130000,150000,180000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Менеджер по аптечным сетям ,150000,180000,200000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Менеджер по аптечным сетям ,120000,130000,150000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Менеджер по аптечным сетям ,130000,140000,170000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Менеджер по аптечным сетям ,120000,130000,140000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Менеджер по аптечным сетям ,130000,140000,160000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Менеджер по аптечным сетям ,120000,130000,140000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Менеджер по аптечным сетям ,140000,150000,160000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Руководитель по аптечным сетям ,190000,230000,250000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Руководитель по аптечным сетям ,250000,270000,300000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Руководитель по аптечным сетям ,250000,280000,300000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Руководитель по аптечным сетям ,250000,300000,350000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер по доступу препаратов на рыков ,150000,180000,200000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер по доступу препаратов на рыков ,170000,200000,250000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер по доступу препаратов на рыков ,150000,160000,200000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер по доступу препаратов на рыков ,150000,180000,200000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер по доступу препаратов на рыков ,150000,170000,190000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер по доступу препаратов на рыков ,180000,190000,200000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер по доступу препаратов на рыков ,150000,180000,230000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер по доступу препаратов на рыков ,180000,200000,230000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер по доступу препаратов на рыков ,160000,180000,200000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер по доступу препаратов на рыков ,170000,200000,230000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер по доступу препаратов на рыков ,170000,180000,200000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер по доступу препаратов на рыков ,170000,180000,200000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер по доступу препаратов на рыков ,160000,180000,200000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер по доступу препаратов на рыков ,200000,220000,230000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,130000,150000,160000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,140000,160000,170000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,100000,120000,150000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,150000,160000,180000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,100000,125000,150000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,110000,135000,160000,
Медицина и фармацевтика,"Северо-Западный ФО, исключая Санкт-Петербург",Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,100000,110000,120000,
Медицина и фармацевтика,"Северо-Западный ФО, исключая Санкт-Петербург",Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,110000,120000,130000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,100000,110000,120000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,120000,130000,140000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,150000,170000,180000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,150000,170000,180000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,120000,140000,160000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,130000,150000,180000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,120000,140000,140000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,130000,150000,160000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,100000,110000,120000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,120000,130000,140000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,150000,160000,170000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,160000,180000,210000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,120000,150000,180000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,160000,170000,190000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,120000,140000,160000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,120000,150000,180000,
Медицина и фармацевтика,"Северо-Западный ФО, исключая Санкт-Петербург",Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,110000,120000,130000,
Медицина и фармацевтика,"Северо-Западный ФО, исключая Санкт-Петербург",Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,110000,125000,140000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,130000,140000,150000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,140000,155000,170000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,150000,180000,200000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,150000,180000,200000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,120000,140000,180000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,130000,150000,200000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,120000,140000,140000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,140000,150000,170000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,120000,135000,150000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,140000,160000,180000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,160000,180000,200000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,170000,220000,240000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,150000,170000,190000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,170000,180000,200000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,160000,170000,180000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,180000,195000,210000,
